date,close,volume
2019-01-02,1.178,6001622.59
2019-01-03,1.164,6784059.87
2019-01-04,1.195,11840440.54
2019-01-07,1.214,9797743.02
2019-01-08,1.211,4699100.52
2019-01-09,1.21,7370433.47
2019-01-10,1.207,4244881.65
2019-01-11,1.209,4306085.68
2019-01-14,1.195,4237977.55
2019-01-15,1.216,6724998.79
2019-01-16,1.214,5897142.69
2019-01-17,1.198,5906280.82
2019-01-18,1.216,6400240.98
2019-01-21,1.222,6604166.64
2019-01-22,1.201,5686735.45
2019-01-23,1.197,3329008.7
2019-01-24,1.211,6844337.47
2019-01-25,1.214,6223129.01
2019-01-28,1.208,5485220.43
2019-01-29,1.192,7620725.69
2019-01-30,1.183,4562772.93
2019-01-31,1.178,7476244.49
2019-02-01,1.221,10385764.2
2019-02-11,1.264,10998410.42
2019-02-12,1.278,8424747.01
2019-02-13,1.301,8785253.25
2019-02-14,1.304,6180714.35
2019-02-15,1.302,8317742.77
2019-02-18,1.357,8628154.62
2019-02-19,1.346,12181710.95
2019-02-20,1.348,6955761.04
2019-02-21,1.355,11258114.9
2019-02-22,1.406,10082465.35
2019-02-25,1.492,11322086.02
2019-02-26,1.479,14183027.46
2019-02-27,1.458,12474735.31
2019-02-28,1.47,7997755.18
2019-03-01,1.5,9410949.41
2019-03-04,1.556,12376554.99
2019-03-05,1.615,11460402.43
2019-03-06,1.635,14250005.3
2019-03-07,1.621,14107830.16
2019-03-08,1.584,20087675.44
2019-03-11,1.658,17024804.65
2019-03-12,1.696,22814532.12
2019-03-13,1.618,21688079.85
2019-03-14,1.583,18379184.32
2019-03-15,1.589,13198897.33
2019-03-18,1.634,12114715.67
2019-03-19,1.633,10383369.2
2019-03-20,1.613,9696310.2
2019-03-21,1.627,11691110.26
2019-03-22,1.621,13073008.58
2019-03-25,1.598,8377286.69
2019-03-26,1.556,7830212.85
2019-03-27,1.568,7526007.1
2019-03-28,1.556,7559260.88
2019-03-29,1.624,11876845.3
2019-04-01,1.694,10597457.19
2019-04-02,1.682,8842648.67
2019-04-03,1.7,6623400.76
2019-04-04,1.701,6827360.94
2019-04-08,1.665,8547676.22
2019-04-09,1.667,6527201.95
2019-04-10,1.654,6106800.94
2019-04-11,1.619,7245281.87
2019-04-12,1.624,5892095.08
2019-04-15,1.596,6596021.88
2019-04-16,1.629,9685384.88
2019-04-17,1.642,8676529.23
2019-04-18,1.629,3841242.3
2019-04-19,1.645,4125438.8
2019-04-22,1.624,5265639.51
2019-04-23,1.61,4356214.44
2019-04-24,1.646,8088347.96
2019-04-25,1.598,8327967.38
2019-04-26,1.589,6398892.25
2019-04-29,1.549,9148151.2
2019-04-30,1.553,5226535.81
2019-05-06,1.424,14214371.55
2019-05-07,1.438,9885604.08
2019-05-08,1.419,9481467.83
2019-05-09,1.409,8748631.58
2019-05-10,1.465,14321410.83
2019-05-13,1.441,7567191.99
2019-05-14,1.431,6841597.67
2019-05-15,1.462,6691145.29
2019-05-16,1.468,4649140.04
2019-05-17,1.416,6313171.39
2019-05-20,1.407,7550099.62
2019-05-21,1.43,6138077.97
2019-05-22,1.427,4603943.31
2019-05-23,1.392,7384027.37
2019-05-24,1.384,6699349.31
2019-05-27,1.428,9692343.43
2019-05-28,1.432,7628804.52
