date,close,volume
2019-01-02,4.409,1669234.53
2019-01-03,4.398,1839144.73
2019-01-04,4.518,2545761.94
2019-01-07,4.596,2393274.06
2019-01-08,4.586,1289221.0
2019-01-09,4.583,3763301.92
2019-01-10,4.591,1720694.05
2019-01-11,4.615,1764024.85
2019-01-14,4.591,1059943.89
2019-01-15,4.655,2339332.53
2019-01-16,4.647,1576908.19
2019-01-17,4.61,1494420.58
2019-01-18,4.659,2232739.26
2019-01-21,4.676,2156889.89
2019-01-22,4.608,1832426.28
2019-01-23,4.613,1182888.88
2019-01-24,4.645,1870587.32
2019-01-25,4.622,1594828.96
2019-01-28,4.606,2033991.49
2019-01-29,4.545,2781116.53
2019-01-30,4.512,1811349.45
2019-01-31,4.483,3181748.95
2019-02-01,4.618,3716726.37
2019-02-11,4.718,2885534.26
2019-02-12,4.743,2683209.2
2019-02-13,4.83,3147949.21
2019-02-14,4.85,1969939.19
2019-02-15,4.816,2287034.18
2019-02-18,5.006,3267174.44
2019-02-19,4.984,3262645.88
2019-02-20,4.974,2237355.47
2019-02-21,4.979,3095152.29
2019-02-22,5.136,2301957.73
2019-02-25,5.479,5959892.29
2019-02-26,5.406,4551919.89
2019-02-27,5.363,3756737.54
2019-02-28,5.368,2457798.34
2019-03-01,5.432,3314269.3
2019-03-04,5.506,3779002.97
2019-03-05,5.666,3142584.66
2019-03-06,5.777,5901643.55
2019-03-07,5.824,4999213.66
2019-03-08,5.632,5874093.86
2019-03-11,5.838,4616363.47
2019-03-12,5.933,4356961.36
2019-03-13,5.793,5163459.04
2019-03-14,5.658,3261088.98
2019-03-15,5.72,3369459.35
2019-03-18,5.903,2997439.91
2019-03-19,5.892,1943708.08
2019-03-20,5.893,2628087.73
2019-03-21,5.958,3038769.23
2019-03-22,6.022,2830935.35
2019-03-25,5.935,2658882.37
2019-03-26,5.757,4013970.53
2019-03-27,5.828,2729907.1
2019-03-28,5.746,2092289.92
2019-03-29,5.942,4613344.84
2019-04-01,6.177,3073622.19
2019-04-02,6.172,3069028.27
2019-04-03,6.244,2466710.73
2019-04-04,6.301,2414183.79
2019-04-08,6.23,3317756.99
2019-04-09,6.257,2408957.38
2019-04-10,6.242,2373630.41
2019-04-11,6.136,2373490.0
2019-04-12,6.12,1931518.97
2019-04-15,6.039,2893085.05
2019-04-16,6.182,3206749.9
2019-04-17,6.193,2354938.29
2019-04-18,6.172,1430483.27
2019-04-19,6.225,1975160.79
2019-04-22,6.123,1694620.2
2019-04-23,6.008,1834967.7
2019-04-24,6.067,2889966.22
