date,close,volume
2019-01-02,0.681,462229.0
2019-01-03,0.696,1145320.0
2019-01-04,0.747,2390256.0
2019-01-07,0.745,1513080.52
2019-01-08,0.745,1225385.52
2019-01-09,0.748,1665878.0
2019-01-10,0.736,857466.0
2019-01-11,0.744,965847.0
2019-01-14,0.741,462589.0
2019-01-15,0.76,1489507.0
2019-01-16,0.753,697081.0
2019-01-17,0.744,610841.0
2019-01-18,0.754,576039.69
2019-01-21,0.749,1121985.0
2019-01-22,0.738,654677.0
2019-01-23,0.736,427783.0
2019-01-24,0.749,912974.0
2019-01-25,0.748,678845.0
2019-01-28,0.743,1052199.0
2019-01-29,0.737,1028082.0
2019-01-30,0.728,594674.0
2019-01-31,0.737,724106.18
2019-02-01,0.756,1077496.97
2019-02-11,0.769,898268.0
2019-02-12,0.774,1067407.79
2019-02-13,0.801,1650923.79
2019-02-14,0.799,1374529.0
2019-02-15,0.782,1174761.0
2019-02-18,0.827,1567617.23
2019-02-19,0.834,2718952.95
2019-02-20,0.836,1566199.72
2019-02-21,0.843,2485239.72
2019-02-22,0.927,4048349.83
2019-02-25,1.02,4746949.67
2019-02-26,0.998,6619829.84
2019-02-27,0.989,4457028.86
2019-02-28,0.956,3618373.1
2019-03-01,0.987,4443927.08
2019-03-04,0.995,5427306.81
2019-03-05,0.995,3441748.0
2019-03-06,1.051,5885484.2
2019-03-07,1.104,5808694.18
2019-03-08,0.995,6033079.66
2019-03-11,1.01,5176354.81
2019-03-12,1.02,5009469.81
2019-03-13,1.002,3633746.56
2019-03-14,0.968,4919770.43
2019-03-15,0.981,3880308.51
2019-03-18,1.005,4704924.51
2019-03-19,0.994,3229807.05
2019-03-20,1.008,4209380.51
2019-03-21,1.022,5532414.56
2019-03-22,1.011,3328902.51
2019-03-25,0.973,3809377.0
2019-03-26,0.943,3445094.76
2019-03-27,0.948,2777918.0
2019-03-28,0.94,2826603.66
2019-03-29,1.02,7103523.61
2019-04-01,1.035,5364145.39
2019-04-02,1.031,4116836.25
2019-04-03,1.084,5636858.83
2019-04-04,1.085,4487417.82
2019-04-08,1.059,4442508.44
2019-04-09,1.059,3216552.72
2019-04-10,1.044,4338532.07
2019-04-11,1.023,3665530.0
2019-04-12,1.027,3654867.17
2019-04-15,1.005,3724839.8
2019-04-16,1.031,4837540.9
2019-04-17,1.023,3143605.0
2019-04-18,1.015,2394834.6
2019-04-19,1.027,2721026.93
2019-04-22,1.004,2899323.25
2019-04-23,1.009,3385185.0
2019-04-24,1.017,2266912.0
2019-04-25,0.989,3358080.68
2019-04-26,0.995,3195656.38
2019-04-29,0.952,4299462.0
2019-04-30,0.957,1801820.14
2019-05-06,0.864,4799767.46
2019-05-07,0.877,3709534.63
2019-05-08,0.866,2888327.0
2019-05-09,0.854,2489501.17
2019-05-10,0.892,4754982.17
2019-05-13,0.873,2076901.84
2019-05-14,0.862,2021589.0
2019-05-15,0.876,2157616.0
2019-05-16,0.879,1447095.84
2019-05-17,0.843,2927936.84
2019-05-20,0.85,2251598.98
2019-05-21,0.862,2187720.04
2019-05-22,0.853,1302873.34
2019-05-23,0.851,1964464.0
2019-05-24,0.852,1297797.0
2019-05-27,0.876,2814552.0
2019-05-28,0.872,1757176.0
2019-05-29,0.873,1502008.0
2019-05-30,0.861,1623135.0
2019-05-31,0.855,1401802.0
2019-06-03,0.856,2045689.0
2019-06-04,0.853,1303018.0
2019-06-05,0.86,1936192.48
2019-06-06,0.851,1545018.48
2019-06-10,0.841,1959180.0
2019-06-11,0.884,4158309.0
2019-06-12,0.875,1976611.0
2019-06-13,0.881,1985770.0
2019-06-14,0.864,1508468.0
2019-06-17,0.87,1094125.0
2019-06-18,0.868,1069685.0
2019-06-19,0.886,3649071.54
2019-06-20,0.94,5882248.12
2019-06-21,0.952,3384056.4
2019-06-24,0.95,1999103.96
2019-06-25,0.952,2979366.09
2019-06-26,0.932,1717075.92
2019-06-27,0.947,2386823.13
2019-06-28,0.943,1807675.2
2019-07-01,0.964,3484049.03
2019-07-02,0.954,2023070.57
2019-07-03,0.937,2016136.33
2019-07-04,0.938,1613430.0
2019-07-05,0.937,1427998.63
2019-07-08,0.914,2573004.63
2019-07-09,0.92,1722398.0
2019-07-10,0.917,1446519.15
2019-07-11,0.919,1673350.82
2019-07-12,0.922,1512232.0
2019-07-15,0.939,2816387.54
2019-07-16,0.936,1064424.54
2019-07-17,0.934,1429007.46
2019-07-18,0.92,1492901.0
