date,close,volume
2020-11-16,1.465,14453638.37
2020-11-17,1.436,10806365.35
2020-11-18,1.424,8631881.31
2020-11-19,1.438,6854018.07
2020-11-20,1.435,6010033.63
2020-11-23,1.422,7975061.21
2020-11-24,1.416,5648067.13
2020-11-25,1.393,8186121.69
2020-11-26,1.39,5191679.22
2020-11-27,1.392,5206326.71
2020-11-30,1.391,6350302.06
2020-12-01,1.409,5867502.8
2020-12-02,1.414,5237907.84
2020-12-03,1.417,4438233.63
2020-12-04,1.411,3713601.8
2020-12-07,1.412,4614044.64
2020-12-08,1.408,4151960.98
2020-12-09,1.38,7826426.54
2020-12-10,1.383,4367841.93
2020-12-11,1.396,5200343.75
2020-12-14,1.413,5090724.97
2020-12-15,1.406,4810610.94
2020-12-16,1.388,4393257.25
2020-12-17,1.406,4265409.21
2020-12-18,1.403,4074836.1
2020-12-21,1.43,7512593.79
2020-12-22,1.403,5868260.55
2020-12-23,1.417,4774503.75
2020-12-24,1.393,5628033.53
2020-12-25,1.394,4608822.04
2020-12-28,1.38,6002050.6
2020-12-29,1.381,4828224.96
2020-12-30,1.403,6128409.99
2020-12-31,1.434,8803392.87
2021-01-04,1.464,8810633.99
2021-01-05,1.468,6438159.42
2021-01-06,1.458,4880388.16
2021-01-07,1.429,8709016.05
2021-01-08,1.423,6619107.59
2021-01-11,1.437,7078492.92
2021-01-12,1.45,5577176.81
2021-01-13,1.454,6536601.52
2021-01-14,1.498,14856703.29
2021-01-15,1.492,9191915.94
2021-01-18,1.526,8914732.42
2021-01-19,1.492,9563058.67
2021-01-20,1.524,8642181.78
2021-01-21,1.526,6457123.28
2021-01-22,1.536,6378548.52
2021-01-25,1.542,7292583.65
2021-01-26,1.524,6737300.58
2021-01-27,1.503,6254353.96
2021-01-28,1.469,7316559.13
2021-01-29,1.467,7791088.27
2021-02-01,1.467,6059940.79
2021-02-02,1.478,5397184.61
2021-02-03,1.456,5404083.59
2021-02-04,1.435,8205920.19
2021-02-05,1.414,5856997.1
2021-02-08,1.425,4333999.63
2021-02-09,1.472,6036092.8
2021-02-10,1.478,5868849.71
2021-02-18,1.476,6061201.21
2021-02-19,1.472,5762211.36
2021-02-22,1.433,8543291.06
2021-02-23,1.433,5589926.38
2021-02-24,1.409,10200781.53
2021-02-25,1.393,8803171.19
2021-02-26,1.368,11269967.73
2021-03-01,1.4,7325784.13
2021-03-02,1.392,5900048.12
2021-03-03,1.4,4357868.19
2021-03-04,1.366,10212836.19
2021-03-05,1.37,5958330.15
2021-03-08,1.316,12354977.77
2021-03-09,1.269,10110175.68
2021-03-10,1.272,6021954.23
2021-03-11,1.304,7183805.47
2021-03-12,1.298,4032897.95
2021-03-15,1.26,8017128.2
2021-03-16,1.258,4930305.93
2021-03-17,1.271,4616877.94
2021-03-18,1.277,3974035.49
2021-03-19,1.266,3613571.23
2021-03-22,1.28,3661329.22
2021-03-23,1.273,3967389.57
2021-03-24,1.258,4330412.39
2021-03-25,1.259,3813079.17
2021-03-26,1.293,6270685.49
2021-03-29,1.286,3980307.29
2021-03-30,1.286,2960595.94
2021-03-31,1.284,2848915.55
2021-04-01,1.303,4622743.5
2021-04-02,1.338,7605463.05
2021-04-06,1.335,3255845.04
2021-04-07,1.339,3217144.13
2021-04-08,1.33,2689911.25
2021-04-09,1.309,3704364.69
2021-04-12,1.282,4811900.66
2021-04-13,1.28,3290647.06
2021-04-14,1.29,2524013.38
2021-04-15,1.3,2919477.66
2021-04-16,1.315,4021353.7
2021-04-19,1.336,5091773.05
2021-04-20,1.33,4281826.2
2021-04-21,1.325,3024804.37
2021-04-22,1.345,4708499.74
2021-04-23,1.352,3697386.39
2021-04-26,1.352,5751977.7
2021-04-27,1.352,3294565.61
2021-04-28,1.361,3290446.22
2021-04-29,1.363,2982797.17
2021-04-30,1.364,2936069.88
2021-05-06,1.348,2892106.57
2021-05-07,1.304,4939702.59
2021-05-10,1.294,3960080.35
2021-05-11,1.294,3741706.63
2021-05-12,1.31,3106557.54
2021-05-13,1.313,3390204.27
2021-05-14,1.341,4276535.31
2021-05-17,1.367,7466442.16
2021-05-18,1.359,2866343.43
2021-05-19,1.365,3112580.79
2021-05-20,1.369,3083020.85
2021-05-21,1.354,3035377.29
2021-05-24,1.371,3909302.92
2021-05-25,1.408,7127269.93
2021-05-26,1.404,3703020.2
2021-05-27,1.437,6709342.98
2021-05-28,1.43,5782167.59
2021-05-31,1.484,8168921.63
2021-06-01,1.502,8493075.93
2021-06-02,1.469,6957525.17
2021-06-03,1.456,5791213.62
2021-06-04,1.475,6040776.0
2021-06-07,1.475,4096515.3
2021-06-08,1.465,4708950.19
2021-06-09,1.472,4496322.64
2021-06-10,1.498,5282000.01
2021-06-11,1.493,5547692.15
2021-06-15,1.499,6446833.15
2021-06-16,1.453,6529799.41
2021-06-17,1.528,10219373.43
2021-06-18,1.55,7548202.94
2021-06-21,1.584,7549405.93
2021-06-22,1.58,5827105.09
2021-06-23,1.588,7173735.22
2021-06-24,1.561,6375204.47
2021-06-25,1.595,5634828.78
2021-06-28,1.618,6268756.45
2021-06-29,1.621,4967311.99
2021-06-30,1.648,6430298.29
2021-07-01,1.633,6575086.86
2021-07-02,1.594,7366070.9
2021-07-05,1.64,5780120.91
2021-07-06,1.591,8655105.2
2021-07-07,1.624,6987801.8
2021-07-08,1.67,7564261.51
2021-07-09,1.644,7536047.86
2021-07-12,1.66,6214086.5
2021-07-13,1.654,5904106.52
2021-07-14,1.616,5030604.14
2021-07-15,1.617,5211959.1
2021-07-16,1.584,6400915.85
2021-07-19,1.573,4973266.88
2021-07-20,1.577,4024560.84
2021-07-21,1.623,7864707.3
2021-07-22,1.638,5125296.4
2021-07-23,1.627,4947321.17
2021-07-26,1.616,6258521.27
2021-07-27,1.605,9393694.5
2021-07-28,1.574,7702880.02
2021-07-29,1.651,8233172.92
2021-07-30,1.651,6641149.27
2021-08-02,1.657,6058864.05
2021-08-03,1.621,5199482.31
2021-08-04,1.665,6228590.79
2021-08-05,1.664,4615095.62
2021-08-06,1.65,4685006.43
2021-08-09,1.631,4099118.81
2021-08-10,1.647,3476766.66
2021-08-11,1.639,3229778.39
2021-08-12,1.646,3024849.19
2021-08-13,1.611,3663401.4
2021-08-16,1.607,3125788.75
2021-08-17,1.566,4420180.1
2021-08-18,1.565,3949086.57
2021-08-19,1.603,4377771.48
2021-08-20,1.59,5253468.69
2021-08-23,1.621,4389347.26
2021-08-24,1.636,4795930.6
2021-08-25,1.601,5401693.27
2021-08-26,1.555,6325145.2
2021-08-27,1.538,4560846.31
2021-08-30,1.527,4494337.09
2021-08-31,1.491,6029564.98
2021-09-01,1.48,6440938.07
2021-09-02,1.456,6352729.51
2021-09-03,1.457,7528122.34
2021-09-06,1.493,7266459.76
2021-09-07,1.494,4002843.42
2021-09-08,1.467,5824347.55
2021-09-09,1.454,4905034.38
2021-09-10,1.482,5849378.69
2021-09-13,1.438,6870376.25
2021-09-14,1.452,5011229.78
2021-09-15,1.437,4661006.21
2021-09-16,1.402,8836721.96
