date,daily_sentiment,ewma_7d,ewma_14d,overnight_sentiment
2019-01-01,0.20784998627916704,0.20784998627916704,0.20784998627916704,
2019-01-02,0.23538597421691246,0.21611078266049066,0.21335718386671612,0.4880200161709698
2019-01-03,0.14332670884973864,0.19427556051726505,0.19935108886332065,0.08742421874776482
2019-01-04,0.20656686802897092,0.1979629527707768,0.2007942446964507,-0.020107121970111257
2019-01-05,0.37078796365955996,0.24981045603741173,0.23479298848907257,
2019-01-06,0.13134556984090628,0.21427099017846007,0.21410350475943934,
2019-01-07,0.3501953755251386,0.2550483057824636,0.2413218789125792,0.35801816606390524
2019-01-08,0.3136235941561538,0.27262089229457065,0.25578222196129413,0.32596366842407987
2019-01-09,0.3100791490608965,0.2838583693244684,0.2666416073812146,0.2629397950450144
2019-01-10,0.3935614058561623,0.31676928028397655,0.2920255670762042,0.2987038673547743
2019-01-11,0.32869148183406705,0.3203459407490037,0.2993587500277768,0.21056758176092066
2019-01-12,0.2206003332468576,0.29042225849835984,0.28360706667159297,
2019-01-13,0.035015589238642016,0.2138002577204445,0.2338887711850028,
2019-01-14,0.2891105337776949,0.23639334053761962,0.24493312370354123,0.2637724937480046
2019-01-15,0.4015849345982075,0.285950818755796,0.2762634858824745,0.1815955868455612
2019-01-16,0.25539230105608796,0.27678326344588355,0.2720892489171972,0.23703530515805024
2019-01-17,0.42531484986542706,0.3213427393717466,0.3027343691068432,0.23797399248685358
2019-01-18,0.366771782255348,0.334971452236827,0.31554185173654414,0.14667725358121755
2019-01-19,0.28845151621210685,0.32101547142941095,0.3101237846316567,
2019-01-20,0.10373405726669832,0.2558310471805971,0.268845839158665,
2019-01-21,0.4027572806442985,0.2999089172197075,0.2956281274557917,0.26156229790122737
2019-01-22,0.2300769123484431,0.2789593157583282,0.282517884434322,0.24114925434060444
2019-01-23,0.16317295997526293,0.2442234090234086,0.25864889954251025,0.08070121474031891
2019-01-24,0.28691379268441286,0.2570305241217099,0.2643018781708908,0.21105623388088735
2019-01-25,0.28904936173238044,0.266636175404911,0.26925137488318873,0.2149685113533829
2019-01-26,0.2906454681934588,0.27383896324147533,0.2735301935452428,
2019-01-27,0.4346575237603651,0.3220845313971422,0.3057556595882672,
2019-01-28,0.27673066842059296,0.3084783725041774,0.2999506613547324,0.27687657363712787
2019-01-29,0.17088430813201244,0.2672001531925279,0.27413739071018844,0.10411649301730014
2019-01-30,0.18930274299610922,0.24383093013360224,0.25717046116737263,0.08918637876935473
2019-01-31,0.15144359434035215,0.2161147293956272,0.23602508780196857,0.018124197649699896
2019-02-01,0.3593038967669462,0.25907147960702287,0.2606808495949641,0.24290692910772085
2019-02-02,0.1982859939251789,0.24083583390246968,0.2482018784610071,
2019-02-03,0.18788938157974858,0.2249518982056533,0.2361393790847554,
2019-02-04,0.2181025538795992,0.22289709490783705,0.2325320140437242,0.21524351318206253
2019-02-05,0.2584219301357406,0.23355454547620808,0.2377099972621275,0.20909733291611904
2019-02-06,0.3250497551438426,0.2610031083764984,0.25517794883847056,0.18121409739967417
2019-02-07,0.057899600985445505,0.20007205615918255,0.21572227926786558,0.08428633219984746
2019-02-08,-0.1330854506790638,0.10012480410770863,0.14596073327847972,-0.20724361783814158
2019-02-09,0.1701138109661812,0.12112150616525039,0.15079134881602002,
2019-02-10,0.24229907511900634,0.15747477685137717,0.1690928940766173,
2019-02-11,0.4123068188512048,0.23392438945132543,0.2177356790315348,0.22937483005035592
2019-02-12,0.40202904142283397,0.284355785042778,0.25459435150979465,0.28173697331348563
2019-02-13,0.45416411640097015,0.3352982844502356,0.2945083044880298,0.28293111477373056
2019-02-14,0.33461197019289574,0.3350923901730336,0.30252903762900296,0.2632562706074149
2019-02-15,0.18668869811683111,0.2905712825561728,0.2793609697265686,0.15482164366137435
2019-02-16,0.31857265318386363,0.29897169374448007,0.2872033064180276,
2019-02-17,0.3512914397307043,0.31466761754034733,0.300020933080563,
2019-02-18,0.46387465135774364,0.3594297276855662,0.33279167673599913,0.2801848466159495
2019-02-19,0.4770679452109073,0.3947211929431685,0.3616469304309808,0.35101635531367115
2019-02-20,0.4664096740775058,0.4162277372834696,0.3825994791602858,0.26810786022542743
2019-02-21,0.43831365176681747,0.42285351162847395,0.3937423136815922,0.1570558485838602
2019-02-22,0.34980454741413763,0.400938822364173,0.3849547604281013,0.15880278535252715
2019-02-23,0.3878942389194279,0.39702544733074946,0.3855426561263666,
2019-02-24,0.3816957714119155,0.39242654455509923,0.3847732791834765,
2019-02-25,0.5535473763551441,0.44076279409511265,0.41852809861781004,0.3093194695649209
2019-02-26,0.37179937356728043,0.420073767936763,0.40918235360770416,0.3774132386223817
2019-02-27,0.33017474652322776,0.3931040615127024,0.3933808321908089,0.24412065311931203
2019-02-28,0.34091813020224854,0.3774482821195662,0.3828882917930968,0.2833643531127606
2019-03-01,0.4803899009220348,0.40833076776030675,0.40238861361888445,0.3039968729048498
2019-03-02,0.35653792148286645,0.3927929138770746,0.3932184751916809,
2019-03-03,0.3562406644461647,0.3818272390478016,0.38582291304257765,
2019-03-04,0.5551722227639455,0.4338307341626447,0.41969277498685126,0.34774764210707043
2019-03-05,0.41040376134730255,0.42680264231804205,0.4178349722589415,0.3453128004784254
2019-03-06,0.3596999191447792,0.40667182536606317,0.40620796163610906,0.27414712197934243
2019-03-07,0.34166690795043836,0.3871703501413757,0.39329975089897495,0.1541244170555025
2019-03-08,0.15646114697058996,0.31795758919013994,0.345932030113298,0.1657503674799714
2019-03-09,0.22457642206855913,0.2899432390536657,0.32166090850435025,
2019-03-10,0.32788091320199547,0.3013245412981646,0.32290490944387934,
2019-03-11,0.30701902674606246,0.30303288693253394,0.319727732904316,0.19565122857226008
2019-03-12,0.3635411674492477,0.321185371087548,0.32849041981330235,0.22426324069469744
2019-03-13,0.2006468360390508,0.28502381057299886,0.30292170305845206,0.19779645468498397
2019-03-14,0.23130966124879182,0.2689095657757367,0.28859929469652,0.16618657045476481
2019-03-15,0.3656320098571752,0.29792629900016826,0.3040058377286511,0.10334310372574972
2019-03-16,0.12993259223297313,0.24752818697000972,0.2691911886295155,
2019-03-17,-0.00703160767443478,0.17116024857667636,0.21394662936872547,
2019-03-18,0.3917342055883251,0.23733243568017098,0.24950414461264542,0.1644743275968079
2019-03-19,0.33187400660109384,0.2656949069564478,0.26597811701033514,0.27595146129518244
